be;was,were;been;být
beat;beat;beaten;porazit,být,překonat
become;became;become;stát se
begin;began;begun;začít
bend;bent;bent;ohnout se,sklonit,zahnout
bite;bit;bitten;kousat
blow;blew;blown;foukat
break;broke;broken;zlomit
bring;brought;brought;přinést
build;built;built;stavět
burn;burned,burnt;burned,burnt;hořet,pálit
buy;bought;bought;kupovat
catch;caught;caught;chytit
choose;chose;chosen;vybrat
come;came;come;přijít
cost;cost;cost;stát (o ceně)
cut;cut;cut;krájet
dig;dug;dug;kopat
do;did;done;dělat
draw;drew;drawn;kreslit,rýsovat
dream;dreamed,dreamt;dreamed,dreamt;snít
drink;drank;drunk;pít
drive;drove;driven;řídit (auto apod.)
eat;ate;eaten;jíst
fall;fell;fallen;padat
feed;fed;fed;krmit
feel;felt;felt;cítit,cítit se
fight;fought;fought;bojovat
find;found;found;najít
fit;fit;fit;přizpůsobit,padnout,hodit se
fly;flew;flown;létat
forget;forgot;forgotten;zapomenout
forgive;forgave;forgiven;odpouštět
freeze;froze;frozen;zmrazit,mrznout
get;got;got;dostat,obdržet
give;gave;given;dát
go;went;gone;jít,jet
grow;grew;grown;růst,pěstovat
hang;hung,hanged;hung,hanged;pověsit,viset
have;had;had;mít
hear;heard;heard;slyšet
hide;hid;hidden;skrýt,schovat (se)
hit;hit;hit;narazit,udeřit
hold;held;held;držet
hurt;hurt;hurt;zranit,bolet
keep;kept;kept;držet,zachovat
know;knew;known;vědět,znát
lead;led;led;vést
learn;learned,learnt;learned,learnt;učit se
leave;left;left;nechat,opustit
lend;lent;lent;půjčit někomu
let;let;let;nechat,dovolit
lie;lay;lain;ležet,položit
light;lit;lit;rozsvítit,zapálit
lose;lost;lost;ztratit,prohrát
make;made;made;dělat,vyrábět
mean;meant;meant;mínit,znamenat
meet;met;met;potkat
pay;paid;paid;platit
put;put;put;položit,dát (kam)
read;read;read;číst
ride;rode;ridden;jet (na něčem)
ring;rang;rung;zvonit
rise;rose;risen;stoupat,zvednout
run;ran;run;běžet
say;said;said;říkat
see;saw;seen;vidět
sell;sold;sold;prodávat
send;sent;sent;poslat
set;set;set;nastavit,určit
shake;shook;shaken;třepat
shine;shone;shone;zářit,svítit
shoot;shot;shot;střílet
show;showed;shown;ukázat
shut;shut;shut;zavřít
sing;sang;sung;zpívat
sink;sank;sunk;potopit,klesat
sit;sat;sat;sědět,sednout si
sleep;slept;slept;spát
slide;slid;slid;klouzat
smell;smelled,smelt;smelled,smelt;cítit (čichem)
speak;spoke;spoken;mluvit
spend;spent;spent;utratit,strávit (čas)
spill;spilled,spilt;spilled,spilt;rozlít
spoil;spoilt,spoiled;spoilt,spoiled;zkazit,zničit
spread;spread;spread;rozšířit,roztáhnout
stand;stood;stood;stát,postavit se
steal;stole;stolen;krást
stick;stuck;stuck;držet,přilepit,nalepit
swim;swam;swum;plavat
take;took;taken;vzít
teach;taught;taught;učit
tear;tore;torn;trhat,roztrhat
tell;told;told;říct
think;thought;thought;myslet
throw;threw;threw;thrown;házet
understand;understood;understood;rozumět
wake;woke;woken;probudit (se)
wear;wore;worn;nosit,oblékat
win;won;won;vyhrát
write;wrote;written;psát
